disease,treatments
Hypertension ,"meditation, salt baths, reduce stress, get proper sleep"
Diabetes ,"have balanced diet, exercise, consult doctor, follow up"
Hepatitis E,"stop alcohol consumption, rest, consult doctor, medication"
Gastroenteritis,"stop eating solid food for while, try taking small sips of water, rest, ease back into eating"
Migraine,"meditation, reduce stress, use poloroid glasses in sun, consult doctor"
Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice"
Hyperthyroidism,"eat healthy, massage, use lemon balm, take radioactive iodine treatment"
Jaundice,"drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication"
Pneumonia,"consult doctor, medication, rest, follow up"
Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep"
Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products"
Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths"
Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor"
Alcoholic hepatitis,"stop alcohol consumption, consult doctor, medication, follow up"
Bronchial Asthma,"switch to loose cloothing, take deep breaths, get away from trigger, seek help"
Fungal infection,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Typhoid,"eat high calorie vegitables, antiboitic therapy, consult doctor, medication"
AIDS,"avoid open cuts, wear ppe if possible, consult doctor, follow up"
Arthritis,"exercise, use hot and cold therapy, try acupuncture, massage"
Common Cold,"drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check"
Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor"
Cervical spondylosis,"use heating pad or cold pack, exercise, take otc pain reliver, consult doctor"
GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
(vertigo) Paroymsal  Positional Vertigo,"lie down, avoid sudden change in body, avoid abrupt head movment, relax"
Urinary tract infection,"drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics"
Paralysis (brain hemorrhage),"massage, eat healthy, exercise, consult doctor"
Chicken pox,"use neem in bathing , consume neem leaves, take vaccine, avoid public places"
Malaria,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out"
Hepatitis D,"consult doctor, medication, eat healthy, follow up"
Varicose veins,"lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long"
Hepatitis C,"Consult nearest hospital, vaccination, eat healthy, medication"
Osteoarthristis,"acetaminophen, consult nearest hospital, follow up, salt baths"
hepatitis A,"Consult nearest hospital, wash hands through, avoid fatty spicy food, medication"
Tuberculosis,"cover mouth, consult doctor, medication, rest"
Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy"
Hepatitis B,"consult nearest hospital, vaccination, eat healthy, medication"
Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Dengue,"drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated"
